#nch:  1024 id=     1      E in detector (MeV)                                             
#      x          content      error    
  0.439453E-02 0.328260E+05 0.181179E+03
  0.131836E-01 0.169760E+05 0.130292E+03
  0.219727E-01 0.161160E+05 0.126949E+03
  0.307617E-01 0.175070E+05 0.132314E+03
  0.395508E-01 0.162430E+05 0.127448E+03
  0.483398E-01 0.174670E+05 0.132163E+03
  0.571289E-01 0.251450E+05 0.158572E+03
  0.659180E-01 0.175610E+05 0.132518E+03
  0.747070E-01 0.179010E+05 0.133795E+03
  0.834961E-01 0.190900E+05 0.138167E+03
  0.922852E-01 0.264610E+05 0.162668E+03
  0.101074E+00 0.146290E+05 0.120950E+03
  0.109863E+00 0.118460E+05 0.108839E+03
  0.118652E+00 0.103530E+05 0.101750E+03
  0.127441E+00 0.122820E+05 0.110824E+03
  0.136230E+00 0.832900E+04 0.912634E+02
  0.145020E+00 0.696100E+04 0.834326E+02
  0.153809E+00 0.605300E+04 0.778010E+02
  0.162598E+00 0.522500E+04 0.722842E+02
  0.171387E+00 0.582200E+04 0.763020E+02
  0.180176E+00 0.561500E+04 0.749333E+02
  0.188965E+00 0.347600E+04 0.589576E+02
  0.197754E+00 0.324200E+04 0.569386E+02
  0.206543E+00 0.297800E+04 0.545711E+02
  0.215332E+00 0.345800E+04 0.588048E+02
  0.224121E+00 0.215500E+04 0.464220E+02
  0.232910E+00 0.184800E+04 0.429884E+02
  0.241699E+00 0.175200E+04 0.418569E+02
  0.250488E+00 0.204300E+04 0.451996E+02
  0.259277E+00 0.163500E+04 0.404351E+02
  0.268066E+00 0.130600E+04 0.361386E+02
  0.276855E+00 0.106100E+04 0.325730E+02
  0.285645E+00 0.931000E+03 0.305123E+02
  0.294434E+00 0.895000E+03 0.299166E+02
  0.303223E+00 0.111900E+04 0.334515E+02
  0.312012E+00 0.731000E+03 0.270370E+02
  0.320801E+00 0.654000E+03 0.255734E+02
  0.329590E+00 0.782000E+03 0.279643E+02
  0.338379E+00 0.756000E+03 0.274955E+02
  0.347168E+00 0.430000E+03 0.207364E+02
  0.355957E+00 0.403000E+03 0.200749E+02
  0.364746E+00 0.430000E+03 0.207364E+02
  0.373535E+00 0.478000E+03 0.218632E+02
  0.382324E+00 0.378000E+03 0.194422E+02
  0.391113E+00 0.289000E+03 0.170000E+02
  0.399902E+00 0.321000E+03 0.179165E+02
  0.408691E+00 0.340000E+03 0.184391E+02
  0.417480E+00 0.281000E+03 0.167631E+02
  0.426270E+00 0.433000E+03 0.208087E+02
  0.435059E+00 0.318000E+03 0.178326E+02
  0.443848E+00 0.333000E+03 0.182483E+02
  0.452637E+00 0.277000E+03 0.166433E+02
  0.461426E+00 0.413000E+03 0.203224E+02
  0.470215E+00 0.379000E+03 0.194679E+02
  0.479004E+00 0.255000E+03 0.159687E+02
  0.487793E+00 0.241000E+03 0.155242E+02
  0.496582E+00 0.222000E+03 0.148997E+02
  0.505371E+00 0.343000E+03 0.185203E+02
  0.514160E+00 0.234000E+03 0.152971E+02
  0.522949E+00 0.198000E+03 0.140712E+02
  0.531738E+00 0.196000E+03 0.140000E+02
  0.540527E+00 0.280000E+03 0.167332E+02
  0.549316E+00 0.346000E+03 0.186011E+02
  0.558105E+00 0.293000E+03 0.171172E+02
  0.566895E+00 0.228000E+03 0.150997E+02
  0.575684E+00 0.233000E+03 0.152643E+02
  0.584473E+00 0.224000E+03 0.149666E+02
  0.593262E+00 0.455000E+03 0.213307E+02
  0.602051E+00 0.231000E+03 0.151987E+02
  0.610840E+00 0.223000E+03 0.149332E+02
  0.619629E+00 0.200000E+03 0.141421E+02
  0.628418E+00 0.357000E+03 0.188944E+02
  0.637207E+00 0.353000E+03 0.187883E+02
  0.645996E+00 0.198000E+03 0.140712E+02
  0.654785E+00 0.223000E+03 0.149332E+02
  0.663574E+00 0.257000E+03 0.160312E+02
  0.672363E+00 0.208000E+03 0.144222E+02
  0.681152E+00 0.253000E+03 0.159060E+02
  0.689941E+00 0.235000E+03 0.153297E+02
  0.698730E+00 0.237000E+03 0.153948E+02
  0.707520E+00 0.197000E+03 0.140357E+02
  0.716309E+00 0.271000E+03 0.164621E+02
  0.725098E+00 0.317000E+03 0.178045E+02
  0.733887E+00 0.193000E+03 0.138924E+02
  0.742676E+00 0.153000E+03 0.123693E+02
  0.751465E+00 0.158000E+03 0.125698E+02
  0.760254E+00 0.249000E+03 0.157797E+02
  0.769043E+00 0.210000E+03 0.144914E+02
  0.777832E+00 0.227000E+03 0.150665E+02
  0.786621E+00 0.272000E+03 0.164924E+02
  0.795410E+00 0.259000E+03 0.160935E+02
  0.804199E+00 0.261000E+03 0.161555E+02
  0.812988E+00 0.333000E+03 0.182483E+02
  0.821777E+00 0.247000E+03 0.157162E+02
  0.830566E+00 0.262000E+03 0.161864E+02
  0.839355E+00 0.299000E+03 0.172916E+02
  0.848145E+00 0.233000E+03 0.152643E+02
  0.856934E+00 0.266000E+03 0.163095E+02
  0.865723E+00 0.246000E+03 0.156844E+02
  0.874512E+00 0.201000E+03 0.141774E+02
  0.883301E+00 0.290000E+03 0.170294E+02
  0.892090E+00 0.359000E+03 0.189473E+02
  0.900879E+00 0.304000E+03 0.174356E+02
  0.909668E+00 0.271000E+03 0.164621E+02
  0.918457E+00 0.260000E+03 0.161245E+02
  0.927246E+00 0.139000E+03 0.117898E+02
  0.936035E+00 0.228000E+03 0.150997E+02
  0.944824E+00 0.278000E+03 0.166733E+02
  0.953613E+00 0.274000E+03 0.165529E+02
  0.962402E+00 0.318000E+03 0.178326E+02
  0.971191E+00 0.261000E+03 0.161555E+02
  0.979980E+00 0.324000E+03 0.180000E+02
  0.988770E+00 0.225000E+03 0.150000E+02
  0.997559E+00 0.212000E+03 0.145602E+02
  0.100635E+01 0.232000E+03 0.152315E+02
  0.101514E+01 0.252000E+03 0.158745E+02
  0.102393E+01 0.309000E+03 0.175784E+02
  0.103271E+01 0.249000E+03 0.157797E+02
  0.104150E+01 0.294000E+03 0.171464E+02
  0.105029E+01 0.294000E+03 0.171464E+02
  0.105908E+01 0.343000E+03 0.185203E+02
  0.106787E+01 0.254000E+03 0.159374E+02
  0.107666E+01 0.251000E+03 0.158430E+02
  0.108545E+01 0.296000E+03 0.172047E+02
  0.109424E+01 0.257000E+03 0.160312E+02
  0.110303E+01 0.291000E+03 0.170587E+02
  0.111182E+01 0.371000E+03 0.192614E+02
  0.112061E+01 0.237000E+03 0.153948E+02
  0.112939E+01 0.243000E+03 0.155885E+02
  0.113818E+01 0.239000E+03 0.154596E+02
  0.114697E+01 0.337000E+03 0.183576E+02
  0.115576E+01 0.388000E+03 0.196977E+02
  0.116455E+01 0.283000E+03 0.168226E+02
  0.117334E+01 0.226000E+03 0.150333E+02
  0.118213E+01 0.216000E+03 0.146969E+02
  0.119092E+01 0.320000E+03 0.178885E+02
  0.119971E+01 0.264000E+03 0.162481E+02
